3/04/2024,1:55:00 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1607.43,-0.12216
1607.44,-0.12229
1607.45,-0.12213
1607.46,-0.12236
1607.47,-0.12178
1607.48,-0.12294
1607.49,-0.12287
1607.5,-0.12199
1607.51,-0.12307
1607.52,-0.12273
1607.53,-0.12219
1607.54,-0.12203
1607.55,-0.12172
1607.56,-0.12208
1607.57,-0.12154
1607.58,-0.12249
1607.59,-0.12167
1607.6,-0.12207
1607.61,-0.12224
1607.62,-0.12234
1607.63,-0.12153
1607.64,-0.12272
1607.65,-0.12157
1607.66,-0.12136
1607.67,-0.12209
1607.68,-0.12137
1607.69,-0.12214
1607.7,-0.12153
1607.71,-0.12264
1607.72,-0.12224
1607.73,-0.12232
1607.74,-0.12226
1607.75,-0.12206
1607.76,-0.12228
1607.77,-0.12137
1607.78,-0.1215
1607.79,-0.12207
1607.8,-0.12152
1607.81,-0.1218
1607.82,-0.12237
1607.83,-0.12258
1607.84,-0.12201
1607.85,-0.12235
1607.86,-0.1228
1607.87,-0.12181
1607.88,-0.12225
1607.89,-0.12179
1607.9,-0.12212
1607.91,-0.122
1607.92,-0.12188
1607.93,-0.12225
1607.94,-0.12248
1607.95,-0.12271
1607.96,-0.12272
1607.97,-0.12253
1607.98,-0.12275
1607.99,-0.12221
1608,-0.12272
1608.01,-0.12213
1608.02,-0.12236
1608.03,-0.12249
1608.04,-0.12228
1608.05,-0.12314
1608.06,-0.1229
1608.07,-0.12304
1608.08,-0.12308
1608.09,-0.1226
1608.1,-0.12256
1608.11,-0.12231
1608.12,-0.12275
1608.13,-0.12259
1608.14,-0.12253
1608.15,-0.12249
1608.16,-0.12296
1608.17,-0.12329
1608.18,-0.12328
1608.19,-0.12308
1608.2,-0.12294
1608.21,-0.12297
1608.22,-0.12292
1608.23,-0.12276
1608.24,-0.123
1608.25,-0.12338
1608.26,-0.12253
1608.27,-0.12311
1608.28,-0.12365
1608.29,-0.1229
1608.3,-0.12354
1608.31,-0.12346
1608.32,-0.12311
1608.33,-0.12329
1608.34,-0.12264
1608.35,-0.12398
1608.36,-0.12283
1608.37,-0.12316
1608.38,-0.12336
1608.39,-0.12343
1608.4,-0.12341
1608.41,-0.12359
1608.42,-0.12304
1608.43,-0.12263
1608.44,-0.12318
1608.45,-0.12282
1608.46,-0.12277
1608.47,-0.12244
1608.48,-0.12356
1608.49,-0.12284
1608.5,-0.123
1608.51,-0.12351
1608.52,-0.12312
1608.53,-0.12308
1608.54,-0.1226
1608.55,-0.12265
1608.56,-0.1222
1608.57,-0.12223
1608.58,-0.12245
1608.59,-0.12307
1608.6,-0.12293
1608.61,-0.12312
1608.62,-0.12284
1608.63,-0.12298
1608.64,-0.12273
1608.65,-0.12257
1608.66,-0.12241
1608.67,-0.12226
1608.68,-0.12243
1608.69,-0.12232
1608.7,-0.12178
1608.71,-0.1226
1608.72,-0.12334
1608.73,-0.12188
1608.74,-0.12262
1608.75,-0.12227
1608.76,-0.12243
1608.77,-0.12216
1608.78,-0.12205
1608.79,-0.1221
1608.8,-0.12221
1608.81,-0.12191
1608.82,-0.12227
1608.83,-0.12238
1608.84,-0.12195
1608.85,-0.12262
1608.86,-0.12212
1608.87,-0.12257
1608.88,-0.12207
1608.89,-0.12189
1608.9,-0.12158
1608.91,-0.1216
1608.92,-0.12204
1608.93,-0.12125
1608.94,-0.12187
1608.95,-0.12221
1608.96,-0.12206
1608.97,-0.12227
1608.98,-0.12225
1608.99,-0.12225
1609,-0.12177
1609.01,-0.12193
1609.02,-0.12204
1609.03,-0.12177
1609.04,-0.12179
1609.05,-0.12224
1609.06,-0.12218
1609.07,-0.12232
1609.08,-0.12285
1609.09,-0.12228
1609.1,-0.12253
1609.11,-0.12193
1609.12,-0.12162
1609.13,-0.12222
1609.14,-0.12165
1609.15,-0.12203
1609.16,-0.12285
1609.17,-0.1226
1609.18,-0.12275
1609.19,-0.1224
1609.2,-0.12245
1609.21,-0.12244
1609.22,-0.12165
1609.23,-0.12259
1609.24,-0.12245
1609.25,-0.12256
1609.26,-0.12252
1609.27,-0.12197
1609.28,-0.12281
1609.29,-0.12251
1609.3,-0.12302
1609.31,-0.12302
1609.32,-0.12259
1609.33,-0.12272
1609.34,-0.12271
1609.35,-0.1224
1609.36,-0.12266
1609.37,-0.12254
1609.38,-0.12272
1609.39,-0.12263
1609.4,-0.12334
1609.41,-0.12349
1609.42,-0.12313
1609.43,-0.12326
1609.44,-0.12279
1609.45,-0.12271
1609.46,-0.12317
1609.47,-0.12273
1609.48,-0.12325
1609.49,-0.12294
1609.5,-0.12311
1609.51,-0.12315
1609.52,-0.12322
1609.53,-0.12324
1609.54,-0.12369
1609.55,-0.12312
1609.56,-0.12265
1609.57,-0.12319
1609.58,-0.12258
1609.59,-0.12342
1609.6,-0.12341
1609.61,-0.12333
1609.62,-0.12373
1609.63,-0.12364
1609.64,-0.12352
1609.65,-0.12306
1609.66,-0.12319
1609.67,-0.12276
1609.68,-0.1234
1609.69,-0.12302
1609.7,-0.12317
1609.71,-0.12342
1609.72,-0.12328
1609.73,-0.12354
1609.74,-0.12368
1609.75,-0.12386
1609.76,-0.12363
1609.77,-0.12352
1609.78,-0.12308
1609.79,-0.12362
1609.8,-0.12288
1609.81,-0.1235
1609.82,-0.12337
1609.83,-0.12339
1609.84,-0.12382
1609.85,-0.12411
1609.86,-0.12358
1609.87,-0.12348
1609.88,-0.12382
1609.89,-0.12336
1609.9,-0.12298
1609.91,-0.12349
1609.92,-0.12332
1609.93,-0.12373
1609.94,-0.12363
1609.95,-0.12373
1609.96,-0.12277
1609.97,-0.12534
