# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jun 12 01:29:03 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CH4
1.605210000e+00 9.99928e-01 9.99928e-01
1.605220000e+00 9.99792e-01 9.99792e-01
1.605230000e+00 9.99823e-01 9.99823e-01
1.605240000e+00 9.99933e-01 9.99933e-01
1.605250000e+00 9.99970e-01 9.99970e-01
1.605260000e+00 9.99983e-01 9.99983e-01
1.605270000e+00 9.99989e-01 9.99989e-01
1.605280000e+00 9.99992e-01 9.99992e-01
1.605290000e+00 9.99994e-01 9.99994e-01
1.605300000e+00 9.99995e-01 9.99995e-01
1.605310000e+00 9.99995e-01 9.99995e-01
1.605320000e+00 9.99995e-01 9.99995e-01
1.605330000e+00 9.99995e-01 9.99995e-01
1.605340000e+00 9.99994e-01 9.99994e-01
