3/04/2024,2:39:49 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1605.09,-0.0877
1605.1,-0.0866
1605.11,-0.08791
1605.12,-0.08739
1605.13,-0.08781
1605.14,-0.08734
1605.15,-0.08811
1605.16,-0.08737
1605.17,-0.08785
1605.18,-0.08754
1605.19,-0.08788
1605.2,-0.08717
1605.21,-0.08721
1605.22,-0.08876
1605.23,-0.08696
1605.24,-0.08791
1605.25,-0.08764
1605.26,-0.08752
1605.27,-0.0878
1605.28,-0.08795
1605.29,-0.0871
1605.3,-0.0879
1605.31,-0.08691
1605.32,-0.08751
1605.33,-0.08701
1605.34,-0.08843
1605.35,-0.08677
1605.36,-0.08782
1605.37,-0.08754
1605.38,-0.08785
1605.39,-0.08785
1605.4,-0.08727
1605.41,-0.08791
1605.42,-0.08731
1605.43,-0.08767
1605.44,-0.08692
1605.45,-0.08718
1605.46,-0.08661
1605.47,-0.0888
1605.48,-0.08681
1605.49,-0.08785
1605.5,-0.08759
1605.51,-0.08767
1605.52,-0.08768
1605.53,-0.08766
1605.54,-0.08777
1605.55,-0.08733
1605.56,-0.08759
1605.57,-0.08743
1605.58,-0.08772
1605.59,-0.0875
1605.6,-0.08772
1605.61,-0.0878
1605.62,-0.08866
1605.63,-0.08704
1605.64,-0.08775
1605.65,-0.08743
1605.66,-0.08804
1605.67,-0.08724
1605.68,-0.088
1605.69,-0.08756
1605.7,-0.08783
1605.71,-0.0872
1605.72,-0.08716
1605.73,-0.08771
1605.74,-0.08817
1605.75,-0.08788
1605.76,-0.08784
1605.77,-0.08734
1605.78,-0.08818
1605.79,-0.08711
1605.8,-0.08769
1605.81,-0.08799
1605.82,-0.08778
1605.83,-0.08813
1605.84,-0.0879
1605.85,-0.08773
1605.86,-0.08817
1605.87,-0.08791
1605.88,-0.08778
1605.89,-0.08738
1605.9,-0.08788
1605.91,-0.08745
1605.92,-0.08816
1605.93,-0.08801
1605.94,-0.08835
1605.95,-0.08843
1605.96,-0.08883
1605.97,-0.08715
1605.98,-0.08921
1605.99,-0.08773
1606,-0.08898
1606.01,-0.08882
1606.02,-0.08833
1606.03,-0.08886
1606.04,-0.08893
1606.05,-0.08855
1606.06,-0.08867
1606.07,-0.0887
1606.08,-0.08847
1606.09,-0.0892
1606.1,-0.08846
1606.11,-0.08847
1606.12,-0.08853
1606.13,-0.08882
1606.14,-0.08888
1606.15,-0.08908
1606.16,-0.08892
1606.17,-0.08959
1606.18,-0.08886
1606.19,-0.08945
1606.2,-0.08902
1606.21,-0.08893
1606.22,-0.08899
1606.23,-0.08927
1606.24,-0.08928
1606.25,-0.08861
1606.26,-0.08934
1606.27,-0.08972
1606.28,-0.08949
1606.29,-0.08942
1606.3,-0.08924
1606.31,-0.08908
1606.32,-0.09002
1606.33,-0.0896
1606.34,-0.08935
1606.35,-0.08896
1606.36,-0.08954
1606.37,-0.08917
1606.38,-0.08949
1606.39,-0.08959
1606.4,-0.08858
1606.41,-0.08962
1606.42,-0.08943
1606.43,-0.0894
1606.44,-0.08921
1606.45,-0.08956
1606.46,-0.08945
1606.47,-0.08865
1606.48,-0.08976
1606.49,-0.08929
1606.5,-0.0894
1606.51,-0.08947
1606.52,-0.08959
1606.53,-0.08917
1606.54,-0.08943
1606.55,-0.08972
1606.56,-0.08932
1606.57,-0.08978
1606.58,-0.08953
1606.59,-0.08997
1606.6,-0.08993
1606.61,-0.0899
1606.62,-0.08991
1606.63,-0.08991
1606.64,-0.08842
1606.65,-0.08916
1606.66,-0.08908
1606.67,-0.08972
1606.68,-0.08912
1606.69,-0.08915
1606.7,-0.09027
1606.71,-0.08948
1606.72,-0.08876
1606.73,-0.08987
1606.74,-0.08914
1606.75,-0.08976
1606.76,-0.08951
1606.77,-0.08938
1606.78,-0.08918
1606.79,-0.08938
1606.8,-0.08923
1606.81,-0.08926
1606.82,-0.08949
1606.83,-0.08952
1606.84,-0.08921
1606.85,-0.08963
1606.86,-0.08928
1606.87,-0.08945
1606.88,-0.08903
1606.89,-0.0891
1606.9,-0.08974
1606.91,-0.08874
1606.92,-0.08974
1606.93,-0.08887
1606.94,-0.08986
1606.95,-0.08928
1606.96,-0.08977
1606.97,-0.0894
1606.98,-0.08922
1606.99,-0.0893
1607,-0.08923
1607.01,-0.08927
1607.02,-0.08912
1607.03,-0.08884
1607.04,-0.08905
1607.05,-0.08963
1607.06,-0.08878
1607.07,-0.08982
1607.08,-0.08909
1607.09,-0.08977
1607.1,-0.08958
1607.11,-0.08935
1607.12,-0.08909
1607.13,-0.08933
1607.14,-0.08935
1607.15,-0.08947
1607.16,-0.08961
1607.17,-0.08912
1607.18,-0.09002
1607.19,-0.08913
1607.2,-0.08997
1607.21,-0.08928
1607.22,-0.08975
1607.23,-0.08949
1607.24,-0.08965
1607.25,-0.08969
1607.26,-0.08962
1607.27,-0.08958
1607.28,-0.08942
1607.29,-0.08949
1607.3,-0.08944
1607.31,-0.0893
1607.32,-0.08986
1607.33,-0.08986
1607.34,-0.08907
1607.35,-0.08973
1607.36,-0.08972
1607.37,-0.08999
1607.38,-0.08934
1607.39,-0.08989
1607.4,-0.08993
1607.41,-0.0898
1607.42,-0.09024
1607.43,-0.08981
1607.44,-0.08995
1607.45,-0.08977
1607.46,-0.09006
1607.47,-0.08923
1607.48,-0.09006
1607.49,-0.09033
1607.5,-0.0895
1607.51,-0.09026
1607.52,-0.09002
1607.53,-0.09014
1607.54,-0.09011
1607.55,-0.09037
1607.56,-0.08997
1607.57,-0.08949
1607.58,-0.09049
1607.59,-0.08985
1607.6,-0.09015
1607.61,-0.09009
1607.62,-0.09024
1607.63,-0.08976
1607.64,-0.0906
1607.65,-0.09005
1607.66,-0.09002
1607.67,-0.08966
1607.68,-0.09026
1607.69,-0.09021
1607.7,-0.09016
1607.71,-0.09056
1607.72,-0.09045
1607.73,-0.08967
1607.74,-0.0903
1607.75,-0.09001
1607.76,-0.09074
1607.77,-0.08992
1607.78,-0.08992
1607.79,-0.0903
1607.8,-0.08956
1607.81,-0.0902
1607.82,-0.09018
1607.83,-0.09027
1607.84,-0.08968
1607.85,-0.09009
1607.86,-0.09012
1607.87,-0.09018
1607.88,-0.0905
1607.89,-0.09002
1607.9,-0.08985
1607.91,-0.09019
1607.92,-0.08978
1607.93,-0.08999
1607.94,-0.08986
1607.95,-0.09034
1607.96,-0.0903
1607.97,-0.09017
1607.98,-0.09037
1607.99,-0.08984
1608,-0.09021
1608.01,-0.09023
1608.02,-0.09012
1608.03,-0.08999
1608.04,-0.09021
1608.05,-0.0903
1608.06,-0.08963
1608.07,-0.09022
1608.08,-0.09028
1608.09,-0.08987
1608.1,-0.09016
1608.11,-0.08972
1608.12,-0.09016
1608.13,-0.08995
1608.14,-0.08968
1608.15,-0.08989
1608.16,-0.0901
1608.17,-0.08993
1608.18,-0.09003
1608.19,-0.09034
1608.2,-0.09009
1608.21,-0.09033
1608.22,-0.0899
1608.23,-0.09017
1608.24,-0.0895
1608.25,-0.0905
1608.26,-0.08938
1608.27,-0.08992
1608.28,-0.09021
1608.29,-0.09015
1608.3,-0.08998
1608.31,-0.09047
1608.32,-0.09021
1608.33,-0.09053
